data_reg_dt,displacement,enterprise,grade,mileage,modelname,rqno,year_oilprice
2026-06-08 12:00:05,1341,NULL,3,13.3,클릭 1.3 SOHC,401040079,1557959
2026-06-08 12:00:05,2476,NULL,4,8.2,스타렉스 휠체어리프트,401040081,2176189
2026-06-08 12:00:05,1495,NULL,3,13.6,아반떼XD 1.5DOHC,401040082,1523592
2026-06-08 12:00:04,3724,NULL,3,6.7,벤츠 ML350,401040085,3092664
2026-06-08 12:00:04,3199,NULL,1,8.6,벤츠 C320,401040086,2409401
2026-06-08 12:00:26,2497,NULL,3,10.3,스타렉스 7인 4WD,401040090,1732500
2026-06-08 12:00:26,2351,NULL,5,6.5,그레이스 LPG 12인,401040091,1824900
2026-06-08 12:00:26,2656,NULL,4,6.5,오피러스 2.7 LPI,401040097,1824900
2026-06-08 12:00:27,4398,NULL,3,8,BMW X5 4.4i,401040098,2590106
2026-06-08 12:00:26,4966,NULL,2,8.4,벤츠 SL500,401040099,2466768
2026-06-08 12:00:26,3199,NULL,2,8.5,벤츠 C320 4Matic,401040100,2437747
2026-06-08 12:00:26,4172,NULL,4,6.6,Touareg 4.2,401040101,3139523
2026-06-08 12:00:27,2967,NULL,4,9.1,재규어3.0(XJ6),401040102,2277016
2026-06-08 12:00:27,3996,NULL,2,8,재규어 XK8,401040103,2590106
2026-06-08 12:00:27,2476,NULL,900,9.5,포터Ⅱ 터보인터쿨러 슈퍼캡 초장축,401040104,1878395
2026-06-08 12:00:27,2476,NULL,900,10,포터Ⅱ 터보인터쿨러 일반캡 장축,401040105,1784475
2026-06-08 12:00:25,2497,NULL,900,10.9,포터Ⅱ A-ENG 일반캡 장축,401040107,1637133
2026-06-08 12:00:25,2995,NULL,3,8.3,렉서스 RX300,401040108,2496488
2026-06-08 12:00:25,4293,NULL,3,7.3,렉서스 LS430,401040109,2838473
2026-06-08 12:00:25,2997,NULL,1,9.4,Accord EX-V6,401040110,2204346
2026-06-08 12:00:26,4172,NULL,1,10,Audi A8 4.2 Quattro LWB,401040112,2072085
2026-06-08 12:00:25,4172,NULL,2,7.6,Audi RS6,401040113,2726428
2026-06-08 12:00:25,3886,NULL,2,7.6,머스탱,401040115,2726428
2026-06-08 12:00:05,1495,NULL,3,14.3,쎄라토 1.5 DOHC 해치백,401040116,1449010
2026-06-08 12:00:25,1495,NULL,4,12.2,쎄라토 1.5 DOHC 해치백,401040117,1698430
2026-06-08 12:00:25,1975,NULL,3,12,쎄라토 2.0 DOHC 해치백,401040119,1726738
2026-06-08 12:00:25,2497,NULL,4,8.8,스타렉스 하이루프 휠체어리프트 9인,401040120,2027813
2026-06-08 12:00:25,1596,NULL,3,12.3,SM3,401040121,1684622
2026-06-08 12:00:25,1596,르노코리아자동차(주),2,14.5,SM3,401040122,1429024
2026-06-08 12:00:25,3189,NULL,5,6.3,카이엔,401040123,3289024
2026-06-08 12:00:04,2435,NULL,3,9.5,볼보 뉴S40 2.4i,401040125,2181142
2026-06-08 12:00:27,2435,NULL,3,9.4,볼보 뉴S40 2.4,401040126,2204346
2026-06-08 12:00:04,1997,NULL,3,11,푸조 307 2.0,401040128,1883714
2026-06-08 12:00:26,4565,GM,5,6.5,캐딜락 SRX,401040129,3187823
2026-06-08 12:00:04,2476,NULL,4,8.6,스타렉스 휠체어리프트 오토매틱,401040130,2074971
2026-06-08 12:00:04,2521,NULL,2,9.3,볼보 뉴S40T5,401040131,2228048
2026-06-08 12:00:26,3179,NULL,2,8,박스터 S-spider,401040132,2590106
2026-06-08 12:00:04,1975,NULL,3,11.2,카렌스 2.0 DOHC,401040145,1850076
2026-06-08 12:00:04,1975,NULL,4,9.6,카렌스 2.0 DOHC,401040146,2158422
2026-06-08 12:00:04,3497,NULL,3,7.1,쏘렌토 3.5 DOHC,401040147,2918430
2026-06-08 12:00:27,1975,NULL,4,9.2,스포티지 2.0 DOHC,401040148,2252266
2026-06-08 12:00:04,1998,NULL,3,10.7,쏘나타 2.0DOHC,401040149,1936528
2026-06-08 12:00:04,1998,NULL,3,12.1,쏘나타 2.0DOHC,401040150,1712467
2026-06-08 12:00:26,1991,NULL,1,14,KM 2.0 디젤,401040153,1274625
2026-06-08 12:00:26,1991,NULL,1,14.6,X-TREK,401040155,1222243
2026-06-08 12:00:01,1599,NULL,3,12.6,쎄라토1.6DOHC4DR,401040158,1644512
2026-06-08 12:00:01,1599,NULL,3,14.3,쎄라토1.6DOHC5DR,401040159,1449010
2026-06-08 12:00:01,1599,NULL,4,12.2,쎄라토1.6DOHC5DR,401040160,1698430
2026-06-08 12:00:01,1599,NULL,3,12.3,아반떼XD 1.6CVVT 4Door,401040161,1684622
2026-06-08 12:00:01,1599,NULL,2,14.6,아반떼XD 1.6CVVT 4Door,401040162,1419236
