BRCD_NO,PRDT_NM,CMPNY_NM,PRDLST_REPORT_NO,PRDLST_NM,HRNK_PRDLST_NM,HTRK_PRDLST_NM,LAST_UPDT_DTM
8809370500033,한국생명공학(주) 석류와 콜라겐 100ml,한국생명공학(주),201203682932,과.채음료,과일.채소류음료,가공식품,2015-01-22 11:12:12.0
8809370500019,한국생명공학(주) 6년근 홍삼액 80ml,한국생명공학(주),201203682938,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8809370500101,한국생명공학(주) 천년초 1Box (100ml X 30포),한국생명공학(주),2012036829312,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809370500002,한국생명공학(주) 천년초 100ml,한국생명공학(주),2012036829312,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809084011238,프리미엄 포도 1.5,(주)엠에스씨,198506140551765,과.채음료,과일.채소류음료,가공식품,2015-01-22 11:12:12.0
8805331200561,문경새재산야초진액  700ML,이젠하우스,1996055806422,액상차,다류,가공식품,2015-01-22 11:12:12.0
8805331200592,문경새재오미자진액 700ML,이젠하우스,1996055806423,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809396730056,한우물영농조합 한우물생칡즙15개 1박스,한우물영농조합법인,201305580451,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809396730049,한우물영농조합 한우물생칡즙60개 1박스,한우물영농조합법인,201305580451,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809396730032,한우물영농조합 한우물생칡즙50개 1박스,한우물영농조합법인,201305580451,액상차,다류,가공식품,2015-01-22 11:12:12.0
8809083495534,자연주의100%국산무농약고춧가루500g,(주)샘초롱,2003057008345,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
1880983495517,자연주의 유기농 고춧가루200G,(주)샘초롱,2003057008346,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809083495527,자연주의 유기농 고춧가루100g,(주)샘초롱,2003057008346,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8809083495510,자연주의 유기농 고춧가루200g,(주)샘초롱,2003057008346,고춧가루,고춧가루 또는 실고추,가공식품,2015-01-22 11:12:12.0
8807574011430,홍삼파워*10,경북과학대학식품공장,199705701624,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8807574011539,홍삼파워*20,경북과학대학식품공장,199705701624,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8807574011423,홍삼파워100ml,경북과학대학식품공장,199705701624,인삼.홍삼음료,음료류,가공식품,2015-01-22 11:12:12.0
8807574011515,대학촌매실 630G,경북과학대학식품공장,1997057016219,액상차,다류,가공식품,2015-01-22 11:12:12.0
8807574011263,대학촌 매실 매실농축액50% 1100G,경북과학대학식품공장,1997057016219,액상차,다류,가공식품,2015-01-22 11:12:12.0
8807574011256,대학촌 매실 매실 농축액50% 630G,경북과학대학식품공장,1997057016219,액상차,다류,가공식품,2015-01-22 11:12:12.0
8807574011348,대학촌모과 630G,경북과학대학식품공장,1997057016220,액상차,다류,가공식품,2015-01-22 11:12:12.0
8807574010099,대학촌포도식초 포도100% 700ML,경북과학대학식품공장,1997057016224,발효식초,식초류,가공식품,2015-01-22 11:12:12.0
8807574010167,대학촌사과식초 사과100% 700ML,경북과학대학식품공장,1997057016225,발효식초,식초류,가공식품,2015-01-22 11:12:12.0
8807574010440,대학촌사과식초700ML,경북과학대학식품공장,1997057016225,발효식초,식초류,가공식품,2015-01-22 11:12:12.0
8809083497880,(주)샘초롱 가을애 유기 들깨가루 200G,(주)샘초롱,2003057008355,기타가공품,기타식품류,가공식품,2015-01-22 11:12:12.0
8809083497873,(주)샘초롱 가을애 유기 들깨가루 100G,(주)샘초롱,2003057008355,기타가공품,기타식품류,가공식품,2015-01-22 11:12:12.0
8809348290010,청보리식품 청보리식품 청녹수 5G x 30EA,청보리식품,201103471982,고형차,다류,가공식품,2015-01-22 11:12:12.0
